	SPY	Stock Price	Cash	Portfolio Value
2014-12-04	100	200.264967	7336.7739	27363.2706
2014-12-05	0	200.592855	27396.0594	27396.0594
2014-12-08	0	199.252356	27396.0594	27396.0594
2014-12-09	0	199.117342	27396.0594	27396.0594
2014-12-10	0	195.925218	27396.0594	27396.0594
2014-12-11	-100	196.918537	47087.9131	27396.0594
2014-12-12	-100	193.736051	47087.9131	27714.308
2014-12-15	0	192.40519	27847.3941	27847.3941
2014-12-16	0	190.862177	27847.3941	27847.3941
2014-12-17	0	194.603995	27847.3941	27847.3941
2014-12-18	100	199.4163	7905.7641	27847.3941
2014-12-19	100	200.264795	7905.7641	27932.2436
2014-12-22	0	201.186018	28024.3659	28024.3659
2014-12-23	0	201.457536	28024.3659	28024.3659
2014-12-24	100	201.476934	7876.6725	28024.3659
2014-12-26	100	202.126639	7876.6725	28089.3364
2014-12-29	100	202.398157	7876.6725	28116.4882
2014-12-30	0	201.312085	28007.881	28007.881
2014-12-31	0	199.314467	28007.881	28007.881
2015-01-02	0	199.207798	28007.881	28007.881
2015-01-05	0	195.610177	28007.881	28007.881
2015-01-06	100	193.767732	8631.1078	28007.881
2015-01-07	100	196.182304	8631.1078	28249.3382
2015-01-08	100	199.663564	8631.1078	28597.4642
2015-01-09	100	198.063546	8631.1078	28437.4624
2015-01-12	100	196.512002	8631.1078	28282.308
2015-01-13	0	195.959274	28227.0352	28227.0352
2015-01-14	100	194.776225	8749.4127	28227.0352
2015-01-15	100	192.99196	8749.4127	28048.6087
2015-01-16	100	195.522907	8749.4127	28301.7034
2015-01-20	100	195.939876	8749.4127	28343.4003
2015-01-21	100	196.928985	8749.4127	28442.3112
2015-01-22	100	199.857518	8749.4127	28735.1645
2015-01-23	0	198.761739	28625.5866	28625.5866
2015-01-26	-100	199.227197	48548.3063	28625.5866
2015-01-27	-100	196.599287	48548.3063	28888.3776
2015-01-28	-100	194.078032	48548.3063	29140.5031
2015-01-29	0	195.872004	28961.1059	28961.1059
2015-01-30	100	193.408928	9620.2131	28961.1059
2015-02-02	100	195.804117	9620.2131	29200.6248
2015-02-03	0	198.635672	29483.7803	29483.7803
2015-02-04	100	197.879298	9695.8505	29483.7803
2015-02-05	0	199.876901	29683.5406	29683.5406
2015-02-06	0	199.324174	29683.5406	29683.5406
2015-02-09	0	198.432041	29683.5406	29683.5406
2015-02-10	-100	200.546005	49738.1411	29683.5406
2015-02-11	0	200.662365	29671.9046	29671.9046
2015-02-12	100	202.592096	9412.695	29671.9046
2015-02-13	0	203.426049	29755.2999	29755.2999
2015-02-17	100	203.746055	9380.6944	29755.2999
2015-02-18	100	203.765454	9380.6944	29757.2398
2015-02-19	100	203.619988	9380.6944	29742.6932
2015-02-20	100	204.841834	9380.6944	29864.8778
2015-02-23	100	204.812744	9380.6944	29861.9688
2015-02-24	0	205.394561	29920.1505	29920.1505
2015-02-25	0	205.220021	29920.1505	29920.1505
2015-02-26	0	204.977593	29920.1505	29920.1505
2015-02-27	0	204.279399	29920.1505	29920.1505
2015-03-02	100	205.569117	9363.2388	29920.1505
2015-03-03	0	204.725458	29835.7846	29835.7846
2015-03-04	0	203.862416	29835.7846	29835.7846
2015-03-05	0	204.08546	29835.7846	29835.7846
2015-03-06	0	201.215108	29835.7846	29835.7846
2015-03-09	-100	202.04906	50040.6906	29835.7846
2015-03-10	-100	198.771431	50040.6906	30163.5475
2015-03-11	0	198.305974	30210.0932	30210.0932
2015-03-12	100	200.827229	10127.3703	30210.0932
2015-03-13	100	199.595692	10127.3703	30086.9395
2015-03-16	100	202.262398	10127.3703	30353.6101
2015-03-17	100	201.661182	10127.3703	30293.4885
2015-03-18	0	204.08546	30535.9163	30535.9163
2015-03-19	100	203.154531	10220.4632	30535.9163
2015-03-20	0	204.947741	30715.2373	30715.2373
2015-03-23	0	204.548382	30715.2373	30715.2373
2015-03-24	0	203.399022	30715.2373	30715.2373
2015-03-25	100	200.418447	10673.3926	30715.2373
2015-03-26	0	199.941177	30667.5103	30667.5103
2015-03-27	0	200.398977	30667.5103	30667.5103
2015-03-30	-100	202.843812	50951.8915	30667.5103
2015-03-31	-100	201.071052	50951.8915	30844.7863
2015-04-01	0	200.360007	30915.8908	30915.8908
2015-04-02	0	201.080802	30915.8908	30915.8908
2015-04-06	100	202.434717	10672.4191	30915.8908
2015-04-07	0	201.898992	30862.3183	30862.3183
2015-04-08	100	202.580817	10604.2366	30862.3183
2015-04-09	0	203.476932	30951.9298	30951.9298
2015-04-10	100	204.587337	10493.1961	30951.9298
2015-04-13	100	203.662002	10493.1961	30859.3963
2015-04-14	100	204.051627	10493.1961	30898.3588
2015-04-15	0	204.967212	30989.9173	30989.9173
2015-04-16	0	204.908772	30989.9173	30989.9173
2015-04-17	0	202.551597	30989.9173	30989.9173
2015-04-20	100	204.402282	10549.6891	30989.9173
2015-04-21	100	204.158772	10549.6891	30965.5663
2015-04-22	100	205.162031	10549.6891	31065.8922
2015-04-23	100	205.678271	10549.6891	31117.5162
2015-04-24	0	206.155541	31165.2432	31165.2432
2015-04-27	0	205.298396	31165.2432	31165.2432
2015-04-28	0	205.951001	31165.2432	31165.2432
2015-04-29	0	205.103591	31165.2432	31165.2432
2015-04-30	0	203.048367	31165.2432	31165.2432
2015-05-01	-100	205.249691	51690.2123	31165.2432
2015-05-04	-100	205.834121	51690.2123	31106.8002
2015-05-05	-100	203.476932	51690.2123	31342.5191
2015-05-06	-100	202.639257	51690.2123	31426.2866
2015-05-07	0	203.447712	31345.4411	31345.4411
2015-05-08	-100	206.126321	51958.0732	31345.4411
2015-05-11	0	205.142547	31443.8185	31443.8185
2015-05-12	100	204.528897	10990.9288	31443.8185
