	IBM	Stock Price	Cash	Portfolio Value
2014-11-06	0	151.981328	40553.7985	40553.7985
2014-11-07	0	152.555518	40553.7985	40553.7985
2014-11-10	-100	153.892154	55943.0139	40553.7985
2014-11-11	0	153.713306	40571.6833	40571.6833
2014-11-12	0	152.414315	40571.6833	40571.6833
2014-11-13	-100	153.233237	55895.007	40571.6833
2014-11-14	0	154.522819	40442.7251	40442.7251
2014-11-17	-100	154.522819	55895.007	40442.7251
2014-11-18	-100	152.386078	55895.007	40656.3992
2014-11-19	-100	151.953076	55895.007	40699.6994
2014-11-20	0	151.20946	40774.061	40774.061
2014-11-21	0	151.473021	40774.061	40774.061
2014-11-24	0	152.630809	40774.061	40774.061
2014-11-25	100	152.263705	25547.6905	40774.061
2014-11-26	100	152.442553	25547.6905	40791.9458
2014-11-28	100	152.649639	25547.6905	40812.6544
2014-12-01	100	152.056619	25547.6905	40753.3524
2014-12-02	0	153.120286	40859.7191	40859.7191
2014-12-03	-100	154.861685	56345.8876	40859.7191
2014-12-04	-100	154.419276	56345.8876	40903.96
2014-12-05	-100	153.685068	56345.8876	40977.3808
2014-12-08	-100	152.35784	56345.8876	41110.1036
2014-12-09	-100	153.421507	56345.8876	41003.7369
2014-12-10	-100	151.087088	56345.8876	41237.1788
2014-12-11	0	151.614224	41184.4652	41184.4652
2014-12-12	0	146.258259	41184.4652	41184.4652
2014-12-15	0	144.07445	41184.4652	41184.4652
2014-12-16	0	142.521321	41184.4652	41184.4652
2014-12-17	0	143.010784	41184.4652	41184.4652
2014-12-18	0	148.423224	41184.4652	41184.4652
2014-12-19	0	149.2045	41184.4652	41184.4652
2014-12-22	100	151.962498	25988.2154	41184.4652
2014-12-23	100	152.715536	25988.2154	41259.769
2014-12-24	100	152.320195	25988.2154	41220.2349
2014-12-26	0	152.809657	41269.1811	41269.1811
2014-12-29	0	151.087088	41269.1811	41269.1811
2014-12-30	0	150.6541	41269.1811	41269.1811
2014-12-31	100	151.021204	26167.0607	41269.1811
2015-01-02	100	152.546096	26167.0607	41421.6703
2015-01-05	0	150.145794	41181.6401	41181.6401
2015-01-06	-100	146.907754	55872.4155	41181.6401
2015-01-07	-100	145.947631	55872.4155	41277.6524
2015-01-08	-100	149.119787	55872.4155	40960.4368
2015-01-09	-100	149.769282	55872.4155	40895.4873
2015-01-12	-100	147.256029	55872.4155	41146.8126
2015-01-13	-100	147.604303	55872.4155	41111.9852
2015-01-14	-100	146.653601	55872.4155	41207.0554
2015-01-15	0	145.495813	41322.8342	41322.8342
2015-01-16	0	147.914931	41322.8342	41322.8342
2015-01-20	0	147.736083	41322.8342	41322.8342
2015-01-21	100	143.161394	27006.6948	41322.8342
2015-01-22	0	146.267667	41633.4615	41633.4615
2015-01-23	0	146.719484	41633.4615	41633.4615
2015-01-26	0	147.180723	41633.4615	41633.4615
2015-01-27	0	144.64864	41633.4615	41633.4615
2015-01-28	100	142.653102	27368.1513	41633.4615
2015-01-29	100	146.35238	27368.1513	42003.3893
2015-01-30	100	144.309774	27368.1513	41799.1287
2015-02-02	100	145.580527	27368.1513	41926.204
2015-02-03	0	149.166854	42284.8367	42284.8367
2015-02-04	100	147.745505	27510.2862	42284.8367
2015-02-05	100	148.639732	27510.2862	42374.2594
2015-02-06	0	148.554422	42365.7284	42365.7284
2015-02-09	100	147.63496	27602.2324	42365.7284
2015-02-10	100	150.298549	27602.2324	42632.0873
2015-02-11	100	149.957305	27602.2324	42597.9629
2015-02-12	100	150.260639	27602.2324	42628.2963
2015-02-13	100	152.042676	27602.2324	42806.5
2015-02-17	0	152.57351	42859.5834	42859.5834
2015-02-18	0	153.73942	42859.5834	42859.5834
2015-02-19	0	155.350842	42859.5834	42859.5834
2015-02-20	-100	155.123341	58371.9175	42859.5834
2015-02-23	-100	154.421907	58371.9175	42929.7268
2015-02-24	-100	156.241867	58371.9175	42747.7308
2015-02-25	-100	154.327111	58371.9175	42939.2064
2015-02-26	-100	152.488188	58371.9175	43123.0987
2015-02-27	-100	153.502445	58371.9175	43021.673
2015-03-02	-100	152.118509	58371.9175	43160.0666
2015-03-03	-100	152.639855	58371.9175	43107.932
2015-03-04	-100	151.113741	58371.9175	43260.5434
2015-03-05	-100	152.782034	58371.9175	43093.7141
2015-03-06	-100	150.241677	58371.9175	43347.7498
2015-03-09	-100	152.393407	58371.9175	43132.5768
2015-03-10	0	149.587626	43413.1549	43413.1549
2015-03-11	0	148.630255	43413.1549	43413.1549
2015-03-12	0	149.748767	43413.1549	43413.1549
2015-03-13	100	146.241551	28788.9998	43413.1549
2015-03-16	0	148.895665	43678.5663	43678.5663
