	GOOG	Stock Price	Cash	Portfolio Value
2014-12-22	100	524.872383	62044.9791	114532.2174
2014-12-23	0	530.592416	115104.2207	115104.2207
2014-12-24	-100	528.772422	167981.4629	115104.2207
2014-12-26	-100	534.032392	167981.4629	114578.2237
2014-12-29	-100	530.332426	167981.4629	114948.2203
2014-12-30	-100	530.422394	167981.4629	114939.2235
2014-12-31	-100	526.402397	167981.4629	115341.2232
2015-01-02	0	524.812404	115500.2225	115500.2225
2015-01-05	0	513.872306	115500.2225	115500.2225
2015-01-06	-100	501.962262	165696.4487	115500.2225
2015-01-07	-100	501.102268	165696.4487	115586.2219
2015-01-08	-100	502.682285	165696.4487	115428.2202
2015-01-09	-100	496.172244	165696.4487	116079.2243
2015-01-12	-100	492.552239	165696.4487	116441.2248
2015-01-13	0	496.182251	116078.2236	116078.2236
2015-01-14	0	500.872267	116078.2236	116078.2236
2015-01-15	100	501.792271	65898.9965	116078.2236
2015-01-16	0	508.082288	116707.2253	116707.2253
2015-01-20	100	506.902294	66016.9959	116707.2253
2015-01-21	100	518.042373	66016.9959	117821.2332
2015-01-22	100	534.392388	66016.9959	119456.2347
2015-01-23	100	539.952437	66016.9959	120012.2396
2015-01-26	0	535.212448	119538.2407	119538.2407
2015-01-27	100	518.63237	67675.0037	119538.2407
2015-01-28	100	510.002318	67675.0037	118675.2355
2015-01-29	100	510.6623	67675.0037	118741.2337
2015-01-30	0	534.522445	121127.2482	121127.2482
2015-02-02	0	528.482381	121127.2482	121127.2482
2015-02-03	-100	529.2424	174051.4882	121127.2482
